date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:10	462/462	---M-Z	404	error ('Not%20Found')	text/html	etag:%22103941-2ea-58d3a11445dd8-gzip%22	http://themesground.com/robots.txt		(from )
12:20:11	12152/12152	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20May%202019%2007:21:55%20GMT	http://themesground.com/altima/demo-page/	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/index.html	(from )
12:20:11	23361/23361	---M-Z	200	added ('OK')	text/css	etag:%220386ec7c1dd51:0%22	https://www.w3schools.com/w3css/4/w3.css	D:/sarthak/shivang/shivang/www.w3schools.com/w3css/4/w3.css	(from http://themesground.com/altima/demo-page/)
12:20:12	11647/11647	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2007:21:55%20GMT	http://themesground.com/altima/demo-page/css/style.css	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/css/style.css	(from http://themesground.com/altima/demo-page/)
12:20:12	121220/121220	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2007:21:55%20GMT	http://themesground.com/altima/demo-page/css/bootstrap.css	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/css/bootstrap.css	(from http://themesground.com/altima/demo-page/)
12:20:14	31000/31000	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2007:21:55%20GMT	http://themesground.com/altima/demo-page/css/font-awesome.min.css	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/css/font-awesome.min.css	(from http://themesground.com/altima/demo-page/)
12:20:15	801/801	---M--	200	added ('OK')	image/png	etag:%222f20492-321-58a29dec90909%22	http://themesground.com/altima/demo-page/images/logo.png	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/logo.png	(from http://themesground.com/altima/demo-page/)
12:20:30	258648/258648	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2031%20May%202019%2007:22:01%20GMT	http://themesground.com/altima/demo-page/js/jquery.js	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/js/jquery.js	(from http://themesground.com/altima/demo-page/)
12:21:41	514803/514803	---M--	200	added ('OK')	image/jpeg	etag:%222f2048d-7daf3-58a29deb2aa93%22	http://themesground.com/altima/demo-page/images/image1.jpg	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/image1.jpg	(from http://themesground.com/altima/demo-page/)
12:21:42	3604/3604	---M--	200	added ('OK')	image/png	etag:%222f2047c-e14-58a29de8e7d04%22	http://themesground.com/altima/demo-page/images/1.png	D:/sarthak/shivang/shivang/themesground.com/altima/demo-page/images/1.png	(from http://themesground.com/altima/demo-page/)
